Date,Open,High,Low,Close,% Change FTSE
22/12/2014,6545.299805,6621,6545.299805,6609.899902,0.99
29/12/2014,6609.899902,6652,6510.600098,6547.799805,-0.94
05/01/2015,6547.799805,6580.799805,6328.600098,6501.100098,-0.71
12/01/2015,6501.100098,6558.799805,6298.200195,6550.299805,0.76
19/01/2015,6550.299805,6841.700195,6548,6832.799805,4.31
26/01/2015,6832.799805,6865,6749.399902,6749.399902,-1.22
02/02/2015,6749.399902,6886.299805,6732,6853.399902,1.54
09/02/2015,6853.399902,6887.600098,6778,6873.5,0.29
16/02/2015,6873.5,6921.299805,6819.799805,6915.200195,0.61
23/02/2015,6915.200195,6967.200195,6885.899902,6946.700195,0.46
02/03/2015,6946.700195,6974.299805,6862.899902,6911.799805,-0.50
09/03/2015,6911.799805,6911.799805,6693.799805,6740.600098,-2.48
16/03/2015,6740.600098,7024.200195,6740.600098,7022.5,4.18
23/03/2015,7022.5,7065.100098,6839.899902,6855,-2.39
30/03/2015,6855,6914.600098,6765.100098,6833.5,-0.31
06/04/2015,6833.5,7095.399902,6833.5,7089.799805,3.75
13/04/2015,7089.799805,7119.399902,6979.299805,6994.600098,-1.34
20/04/2015,6994.600098,7105.100098,6994.600098,7070.700195,1.09
